,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
226,Oregon,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1002106|782403|216827]",7.0,"[50.07|39.09|10.83]"
227,Oregon,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1340383|958448|11831|41582|22077]",7.0,"[56.45|40.37|0.5|1.75|0.93]"
228,Pennsylvania,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2485967|2281127|103392|41699]",20.0,"[50.61|46.44|2.1|0.85]"
229,Pennsylvania,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[2938095|2793847|33822]",20.0,"[50.96|48.46|0.59]"
230,Pennsylvania,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[3266523|2649934|61524]",20.0,"[54.64|44.33|1.03]"
231,Pennsylvania,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[2990274|2680434|71332]",20.0,"[52.08|46.68|1.24]"
232,Pennsylvania,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[2926441|2970733|218228]",20.0,"[47.85|48.58|3.57]"
233,Pennsylvania,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[3458229|3377674|79380]",20.0,"[50.01|48.84|1.15]"
234,Rhode Island,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[249508|130555|25052|3997]",4.0,"[60.99|31.91|6.12|0.98]"
235,Rhode Island,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[259760|169046|7483]",4.0,"[59.54|38.75|1.72]"
236,Rhode Island,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[296571|165391|9804]",4.0,"[62.86|35.06|2.08]"
237,Rhode Island,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[279677|157204|9171]",4.0,"[62.7|35.24|2.06]"
238,Rhode Island,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[252525|180543|31076]",4.0,"[54.41|38.9|6.7]"
239,Rhode Island,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[307486|199922|5053|5296]",4.0,"[59.39|38.61|0.98|1.02]"
240,South Carolina,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[566039|786426|20279|11033]",9.0,"[40.91|56.83|1.47|0.8]"
241,South Carolina,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[661699|937974|18057]",9.0,"[40.9|57.98|1.12]"
242,South Carolina,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[862449|1034896|23624]",9.0,"[44.9|53.87|1.23]"
243,South Carolina,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[865941|1071645|26532]",9.0,"[44.09|54.56|1.35]"
244,South Carolina,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[855373|1155389|92265]",9.0,"[40.67|54.94|4.39]"
